title,text,url,date,source,content_hash,scraped_at,branch
AD Capital Asset Management obtient la certification ISAE 3402 Type 1 délivrée par Forvis Mazars,"AD Capital Asset Management a le plaisir d’annoncer l’obtention de la certification ISAE 3402 Type 1, délivrée par le cabinet international d’audit et de conseil Forvis Mazars. Cette certification atteste de la qualité et de la fiabilité du dispositif de contrôle interne mis en place par AD Capital Asset Management pour la gestion de ses opérations et la protection des actifs de ses clients. L’ISAE 3402 (International Standard on Assurance Engagements), établie par le Comité International des Normes d’Audit, est une norme internationale applicable aux examens des contrôles mis en œuvre par un prestataire de services. Elle requiert la mise en œuvre de diligences professionnelles permettant d’obtenir l’assurance raisonnable que les contrôles décrits existent et sont correctement conçus, dans tous leurs aspects significatifs, pour répondre aux objectifs définis. Cette certification reflète l’engagement continu d’AD Capital Asset Management à offrir à ses clients un haut niveau d’exigence en matière de gouvernance, de transparence et de maîtrise des risques. es clients d’AD Capital Asset Management peuvent, sur demande, consulter le rapport de certification, en format physique ou électronique.",https://boursenews.ma/article/marches/ad-capital-asset-management-certification-isae-3402-type-1,2025-08-06 14:57:24.475762,Boursenews,ea91aab38821858adf562cf498257ddd,2025-08-06 14:57:24,asset management
"OPCVM : Les encours glissent à 783,76 milliards de dirhams en début août","Les actifs nets sous gestion des OPCVM ont amorcé le mois d’août sur une note négative, reculant de 1,55 % pour s’établir à 783,76 milliards de dirhams , selon les dernières données de l’ASFIM. Dans le détail, les encours des OPCVM Actions maintiennent leur dynamique haussière avec une progression de 1,41 % à 81,2 milliards de dirhams, soutenus par la vigueur du marché actions. Les encours des OPCVM Diversifiés avancent également de 0,73 % à 104,48 milliards de dirhams, confirmant l’intérêt des investisseurs pour les stratégies multi-actifs. En revanche, les principales catégories obligataires reculent : les encours des OMLT cèdent 0,97 % à 367,94 milliards de dirhams, tandis que les encours des OCT plongent de 4,21 % à 117,49 milliards de dirhams. Les encours des OPCVM Monétaires affichent la plus forte contraction, en baisse de 4,67 % à 103,02 milliards de dirhams.",https://boursenews.ma/article/marches/Hebdo-OPCVM-au-01-08-2025,2025-08-06 14:57:46.358492,Boursenews,1c80c150ef69ff94610b982d633e1434,2025-08-06 14:57:46,asset management
"CIH Bank boucle avec succès son augmentation de capital de 1,5 milliard de dirhams","CIH Bank a clôturé avec succès l’opération d’augmentation du capital social réservée aux actionnaires et aux détenteurs de droits préférentiels de souscription, par l’émission de 4 108 341 actions nouvelles, représentant une augmentation de capital de 1 470 786 078 dirhams. Le Conseil d’Administration, réuni en date du 31 juillet 2025, a constaté la réalisation effective de cette opération. La période de souscription, ouverte du 4 au 23 juillet 2025 inclus, a permis aux actionnaires et aux détenteurs de DPS de souscrire aux actions nouvelles conformément aux modalités prévues dans le prospectus visé par l’Autorité Marocaine du Marché des Capitaux (AMMC) en date du 20 juin 2025 sous la référence VI/EM/024/2025. À l’issue de l’opération, les actionnaires et les détenteurs de DPS ont affirmé une forte adhésion avec plus de 16,1 millions d’actions souscrites, soit un taux de sursouscription de 3,9 fois et un montant global mobilisé de 5 756 millions de dirhams. La souscription à titre irréductible a représenté 97,7 % de l’opération, correspondant à 4 013 919 actions pour un montant de 1 437 millions de dirhams. A noter que 83 % de ces souscriptions à titre irréductible a été réalisé à travers l’acquisition de droits préférentiels de souscription, illustrant l’engagement des investisseurs pour garantir l’attribution. La souscription à titre réductible, représentant 2,3 % de l’opération (soit 33,8 millions de dirhams), a connu un engouement remarquable avec une demande s’élevant à 4 319 millions de dirhams, soit une sursouscription de 127 fois. Suite à cette augmentation, le capital social de CIH BANK s’élève désormais à 3 560 562 400 dirhams.",https://boursenews.ma/article/marches/cih-bank-cloture-augmentation-de-capital,2025-08-06 14:58:26.594707,Boursenews,2d59052c7e2bc93c0da120d24b8be992,2025-08-06 14:58:26,corporate finance
Gestion collective: 16 investisseurs détiennent plus de la moitié des encours OPCVM,"À fin 2024, la concentration du passif des OPCVM reste marquée, avec plus de la moitié de l’actif sous gestion détenue par seulement 16 investisseurs. Cette configuration, relevée dans le dernier rapport sur la stabilité financière, continue de susciter l’attention des régulateurs. À fin 2024, l'industrie marocaine de la gestion collective affiche un actif net sous gestion de 653,2 milliards de dirhams, réparti entre diverses catégories d'investisseurs. Cette répartition révèle une concentration marquée entre les mains d’un cercle restreint d’acteurs institutionnels, qui structurent et orientent largement le marché. Les investisseurs institutionnels résidents (en particulier les entreprises financières) dominent le paysage, représentant 71,9% de l’actif net total. À eux seuls, trois types d’entités financières concentrent plus de 60% de l’actif des OPCVM : - Les organismes de prévoyance et de retraite : 190,7 Mds de DH, soit 29,2 %, - Les compagnies d’assurances : 81,4 Mds de DH, soit 12,47 %, - Les banques et la Caisse de Dépôt et de Gestion (CDG) : 123,9 Mds de DH, soit 18,98 %. Les organismes de retraite et de prévoyance occupent ainsi une position centrale, en particulier sur le segment des OPCVM obligataires à moyen et long terme. Leur poids illustre le rôle croissant de ces acteurs dans le financement de l’économie via le marché des capitaux. Les entreprises non financières détiennent 131,1 Mds de DH, soit 20% du total, traduisant un usage significatif des OPCVM comme véhicule de gestion de trésorerie pour les excédents de liquidité. En revanche, les investisseurs individuels, qu’ils soient résidents ou non, ne représentent que 8% de l’actif global (54,6 Mds de DH), un chiffre qui souligne la faible pénétration de ces produits d’épargne auprès du grand public marocain. Ce déséquilibre dans la structure de détention témoigne d’un marché encore très institutionnel dans sa composition. Si cela reflète la maturité des besoins et des pratiques des grands investisseurs, cela suggère également un potentiel de développement significatif du côté des particuliers. Une double concentration : gestionnaires et porteurs Du côté de l’offre, la concentration reste élevée. Cinq sociétés de gestion concentrent 68% de l’actif net global, une part en léger recul par rapport à 2023 (71%). Par ailleurs, près de 77% de l’actif est géré par des sociétés de gestion affiliées à des groupes bancaires ou assurantiels. Mais c’est surtout sur le passif des fonds que la concentration interpelle : à fin 2024, 51% de l’actif total est détenu par seulement 16 porteurs de parts ou actionnaires. Ce niveau, certes en baisse par rapport à 2023 (13 porteurs), constitue un point de vigilance pour le secteur. Dans le dernier rapport sur la stabilité financière, les régulateurs soulignent que «la concentration du passif des fonds constitue un point d’attention de l’industrie des OPCVM», en raison de la forte détention des actifs par un nombre limité de porteurs. Le secteur des OPCVM, dont les encours avoisinent les 800 milliards de dirhams à fin juillet 2025, conserve d’importants relais de croissance, à condition d’élargir sa base d’investisseurs et de consolider ses fondamentaux opérationnels. Un cap que la future loi, attendue prochainement, ambitionne d’accompagner.",https://boursenews.ma/article/marches/gestion-collective-actif-opcvm-detenu-par-16-investissseurs,2025-08-06 14:58:47.076645,Boursenews,5c21b48d687f9f7fbc625c3b9142f79a,2025-08-06 14:58:47,asset management
Une valorisation imposante pour OpenAI,"Selon le New York Times, OpenAI a réussi une levée de fonds de 8,3 Mrds $, dans le cadre de son projet de lever 40 Mrds $ en 2025 avec une valorisation estimée à 300 Mrds $. SoftBank fait partie des grands investisseurs, mais le tour de table aurait intégré cinq fois plus d'investisseurs que prévu. A travers cette levée, OpenAI souhaite également s’affranchir de Microsoft, son partenaire des premières années, désormais perçu concurrent. Toutefois, OpenAI doit changer son statut pour devenir une entreprise à but lucratif, avant de pouvoir réaliser une entrée en Bourse.",https://flm.ma/news.php?id=55088,2025-08-06 14:59:05.523382,FLM,4923806b81bac593b0181d29e873e9a6,2025-08-06 14:59:05,private equity
L’info à retenir : la fusion-scission,"Berkshire Hathaway a annoncé pour 2025 T2 un recul de -4% du résultat d’exploitation à 11,16 Mrds $, alors que le bénéfice net est passé de 30,35 Mrds $ à 12,37 Mrds $, En effet, le conglomérat de Warren Buffett a enregistré 3,76 Mrds $ de dépréciations d'actifs sur sa participation dans Kraft Heinz. Berkshire Hathaway avait déjà déprécié sa participation dans Kraft Heinz de 3 Mrds $ en 2019, Warren Buffett estimant avoir surpayé la fusion ayant donné naissance au groupe agroalimentaire en 2015. D’ailleurs, Kraft Heinz pourrait envisager un démantèlement notamment en scindant la division des plats préparés (l'ex-Kraft).",https://flm.ma/news.php?id=55084,2025-08-06 15:00:01.116986,FLM,1cd0208c63345693be59de2d2d4562cd,2025-08-06 15:00:01,corporate finance
Kraft Heinz plombe Berkshire Hathaway,"Berkshire Hathaway a annoncé pour 2025 T2 un recul de -4% du résultat d’exploitation à 11,16 Mrds $, alors que le bénéfice net est passé de 30,35 Mrds $ à 12,37 Mrds $, En effet, le conglomérat de Warren Buffett a enregistré 3,76 Mrds $ de dépréciations d'actifs sur sa participation dans Kraft Heinz. Berkshire Hathaway avait déjà déprécié sa participation dans Kraft Heinz de 3 Mrds $ en 2019, Warren Buffett estimant avoir surpayé la fusion ayant donné naissance au groupe agroalimentaire en 2015. D’ailleurs, Kraft Heinz pourrait envisager un démantèlement notamment en scindant la division des plats préparés (l'ex-Kraft).",https://flm.ma/news.php?id=55079,2025-08-06 15:00:48.742822,FLM,cb0adf83b66dcd32f4fec33036c31277,2025-08-06 15:00:48,corporate finance
133 Mrds $ de liquidités pour Apple,"Apple a annoncé pour son troisième trimestre 2025, qui s’est terminé le 28 juin, un CA de 94 milliards de dollars en hausse de 10% en un an. Le bénéfice net suit la même tendance avec 23,4 milliards de dollars. Quant à l’IA, Tim Cook s’est montré ouvert à l’acquisition des start-ups spécialisées. Apple disposait d'environ 133 milliards de dollars de liquidités à la fin du trimestre de juin.",https://flm.ma/news.php?id=55070,2025-08-06 15:00:55.091880,FLM,8a167c4104a200a0dff11ce3c1b7d4b2,2025-08-06 15:00:55,corporate finance
Une acquisition américaine pour Bouygues,"Colas Inc., filiale américaine de Colas, a signé un protocole d’accord visant à acquérir 100% des titres de la société Suit-Kote, jusqu’alors détenus par la famille Suits, fondatrice de l’entreprise en 1921, pour un montant de plus de 450 M$. Suit-Kote est spécialisée dans la distribution de bitume liquide, dans la fabrication de mélanges d’émulsion, ainsi que dans les services de construction et de préservation des chaussées dans plusieurs États du nord-est des États-Unis. Avec plus de 750 employés, Suit-Kote génère un chiffre d’affaires annuel d’environ 500 M$. Colas, filiale du groupe Bouygues, est un acteur majeur de la construction, de l’entretien des infrastructures de transport et des aménagements urbains. L’activité de Colas s’étend de la production industrielle, jusqu’aux offres de services, en passant par les travaux.",https://flm.ma/news.php?id=55096,2025-08-06 15:01:44.465829,FLM,1a3c00640d9b4c5a070f24d4cd904b3f,2025-08-06 15:01:44,corporate finance
"En direct : 	MHE, Eqdom, BOA-BMCE, dépôts, OCP","Ce mercredi, nous évoquerons la séance boursière marquée par Vicenne ainsi que les actions gratuites de BOA-BMCE. Aussi, nous nous attardons sur la participation directe de MHE dans le capital de Saham Bank ainsi que sur la cession par Investima de sa participation dans Eqdom. De même, nous revenons sur la bonne forme des dépôts bancaires. Enfin, nous passons en revue la finalisation par l’OCP du projet d’eau non conventionnelle.",https://flm.ma/article.php?id=12551,2025-08-06 15:01:47.277162,FLM,1ae8dc0ecd06d7eee2646eb4ff70b317,2025-08-06 15:01:47,corporate finance
